component,test_name,expected_result,actual_result,status,evidence_file,remaining_issue
Radar,radar validation,99 checks pass,99 checks pass,PASS,results/radar_model_validation_results.md,None
Tracker,tracker validation,40 checks pass,40 checks pass,PASS,results/tracker_validation_results.md,None
Fusion,fusion validation,29 checks pass,29 checks pass,PASS,results/fusion_validation_results.md,None
Communication,communication validation,28 checks pass,28 checks pass,PASS,results/communication_model_validation_results.md,None
Trust,dynamic-trust validation,13 checks pass,13 checks pass,PASS,results/dynamic_trust_validation_results.md,None
Metrics,metric validation,All metrics pass,All metrics pass,PASS,results/metrics_validation_results.md,None
Audit,ground-truth leakage audit,Zero leakage in fusion/tracking models,Zero leakage found,PASS,None,None
Scenario,centralized scenario,Success/Fail evaluated,Evaluated successfully,PASS,results/combined_fault_results.md,None
Scenario,distributed scenario,Success/Fail evaluated,Evaluated successfully,PASS,results/combined_fault_results.md,None
Scenario,clutter scenario,Handled without crash,Handled gracefully,PASS,results/combined_fault_results.md,None
Scenario,radar-dropout scenario,Handled safely,Handled safely,PASS,results/combined_fault_results.md,None
Scenario,communication-outage scenario,Handled safely,Handled safely,PASS,results/combined_fault_results.md,None
Scenario,faulty-sensor scenario,Rejects faulty sensor,Rejected successfully,PASS,results/combined_fault_results.md,None
Scenario,crossing-target scenario,Maintains track IDs,Tracks maintained,PASS,results/combined_fault_results.md,None
Scenario,rapidly moving obstacle scenario,Tracks safely,Safety maintained,PASS,results/combined_fault_results.md,None
